GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENTREZID,GENENAME,SYMBOL,pfdr
ENSG00000165171,327.3182113814683,-0.6281333679849821,0.13886889050734572,22.77498696489056,1.8212070038109393e-6,9.175965935808804e-5,155368,methyltransferase like 27,METTL27,1.110936272324673e-4
ENSG00000165275,336.34771559310315,-0.15704869073886607,0.040801808151707,15.136120309911348,1.0003098577378431e-4,0.0022572200286559677,158234,tRNA methyltransferase 10B,TRMT10B,0.0030509450661004214
ENSG00000165819,1907.7227972025055,-0.18345881072351147,0.05131299372286626,13.190541272245355,2.8136562088840124e-4,0.005091241877801291,56339,methyltransferase like 3,METTL3,0.005721100958064158
ENSG00000158825,55.54703205634608,0.5028763480971248,0.14035826706676396,11.857074135647963,5.744272218328277e-4,0.0087164593263998,978,cytidine deaminase,CDA,0.008760015132950622
ENSG00000121486,565.6364020583283,0.1852999608781635,0.054059004739259335,11.39847663978162,7.350435661261468e-4,0.010449393015823216,81627,tRNA methyltransferase 1 like,TRMT1L,0.00896753150673899
ENSG00000241058,436.37142231062904,-0.17216925480074918,0.057182499193957584,9.319089120186618,0.002267787033246395,0.024372030117415375,221078,NOP2/Sun RNA methyltransferase 6,NSUN6,0.023055834838005017
ENSG00000197381,1310.9470915162174,-0.17035436913002378,0.06230239218471463,7.696526185404764,0.00553272064020968,0.04599954482130404,104,adenosine deaminase RNA specific B1,ADARB1,0.048213708436112925
ENSG00000087995,616.152882364008,0.08704063736510104,0.03573355885956226,5.854925006439771,0.015533519915301405,0.09342847764510875,339175,methyltransferase like 2A,METTL2A,0.1184430893541732
ENSG00000091542,3980.13440306086,0.09077901347171591,0.038973684760388747,5.341660655341002,0.020821628642733507,0.11405634355507344,54890,"alkB homolog 5, RNA demethylase",ALKBH5,0.14112437191186045
ENSG00000066651,313.66621959662666,-0.12409532973396678,0.05797713742781213,4.675202917542265,0.030601087451138077,0.148221172585698,60487,tRNA methyltransferase 11 homolog,TRMT11,0.18666663345194226
ENSG00000278619,240.35137323991168,0.14571753534661136,0.06995127823679546,4.239609296056187,0.03949125407924535,0.1748372888111984,79922,mitochondrial rRNA methyltransferase 1,MRM1,0.2092071252629544
ENSG00000189007,232.2196730013694,-0.18842938519539695,0.09371464805077363,4.169600609406189,0.04115550005172874,0.17984142100446915,134637,adenosine deaminase tRNA specific 2,ADAT2,0.2092071252629544
ENSG00000047188,1166.8726473035172,-0.1454019556206283,0.07432477304675969,3.924063522003962,0.04759969445404949,0.19674601700322938,64848,YTH domain containing 2,YTHDC2,0.22335241243823223
ENSG00000037474,2246.5863492546223,0.08441343419160392,0.04341766296057267,3.7264997524562204,0.05355551221859764,0.21202134110714785,54888,NOP2/Sun RNA methyltransferase 2,NSUN2,0.2333490175238897
ENSG00000111641,1182.8098105979445,-0.11091398310918041,0.06370371157230335,3.0897859262904603,0.0787851724414158,0.2697556378003402,4839,NOP2 nucleolar protein,NOP2,0.3109548430392625
ENSG00000162851,586.007042950088,0.10193973818281465,0.05806022650957936,3.0334995200637422,0.08156192604308525,0.27587266525775883,64216,"transcription factor B2, mitochondrial",TFB2M,0.3109548430392625
ENSG00000206562,455.19048423035565,0.07833057478441385,0.0491482910828841,2.509759571197719,0.11314319232872277,0.3380574637121623,131965,methyltransferase like 6,METTL6,0.4000819086868686
ENSG00000213638,172.5641659146672,-0.14503711773295486,0.09517801267284277,2.37928529950932,0.12295378694584738,0.35462687549022776,113179,adenosine deaminase tRNA specific 3,ADAT3,0.4000819086868686
ENSG00000068438,985.8406080506787,0.056646218774288486,0.036804503508214,2.348047072285226,0.12544006847678787,0.35894930614244197,24140,FtsJ RNA 2'-O-methyltransferase 1,FTSJ1,0.4000819086868686
ENSG00000104907,1182.9133443474868,-0.12239554865141862,0.08194315696242309,2.2785507513699486,0.1311743962907766,0.3679695947278165,55621,tRNA methyltransferase 1,TRMT1,0.4000819086868686
ENSG00000180917,778.7300841286385,0.12147928462767688,0.08157002929781766,2.172459547960898,0.14050136168133104,0.38339412141366525,55783,cap methyltransferase 2,CMTR2,0.4081230029791044
ENSG00000250305,88.88196357801768,-0.18858325995406977,0.1339463103114751,2.0399582837635535,0.1532138479334977,0.40383730107851984,57604,tRNA methyltransferase 9B (putative),TRMT9B,0.4248202147246982
ENSG00000198492,2162.7074538066304,0.04230815258775427,0.036220756094208474,1.3547579012811184,0.24444805323376598,0.530468775461171,51441,YTH N6-methyladenosine RNA binding protein 2,YTHDF2,0.631735769257746
ENSG00000029639,228.77259632436756,0.05752234975471161,0.04962626957507172,1.3314255003524522,0.2485517780686214,0.5349728720269371,51106,"transcription factor B1, mitochondrial",TFB1M,0.631735769257746
ENSG00000171861,603.9957738215344,-0.07757655489762909,0.06975369050834221,1.2535320793249412,0.2628789399936516,0.551138508312925,55178,mitochondrial rRNA methyltransferase 3,MRM3,0.6414246135845099
ENSG00000146834,2386.165753932641,0.05804910964126297,0.052777453632334555,1.1977531630327576,0.27377121147466443,0.5638342485334735,56257,methylphosphate capping enzyme,MEPCE,0.642309380767482
ENSG00000123600,643.8792621674517,-0.06359771715968898,0.06156636922491103,1.0781115274830881,0.29912040459392375,0.5910830335339623,79828,methyltransferase like 8,METTL8,0.675790543712198
ENSG00000145388,797.1064418504311,0.04761221486013233,0.048389990957579794,0.9604677503530183,0.3270690565614918,0.6207883020576995,57721,methyltransferase like 14,METTL14,0.701720456193985
ENSG00000105202,4614.8730340580405,0.08087611235159445,0.08305959196842304,0.9348539128077391,0.3336048070430421,0.6276861539379814,2091,fibrillarin,FBL,0.701720456193985
ENSG00000137760,252.06644589862674,-0.048216240798435075,0.052046073933758034,0.8642910253083755,0.3525406581152581,0.6449681815295992,91801,"alkB homolog 8, tRNA methyltransferase",ALKBH8,0.7168326715010247
ENSG00000065457,536.7037097394697,-0.07105075246399097,0.082042876495516,0.7587861166857692,0.3837086714689149,0.6743125647289946,23536,adenosine deaminase tRNA specific 1,ADAT1,0.7463295969851089
ENSG00000130826,2361.6940783411305,0.04130636732632079,0.04803994432614341,0.734224859124879,0.39151716563153255,0.6810426302791699,1736,dyskerin pseudouridine synthase 1,DKC1,0.7463295969851089
ENSG00000165055,1043.6419075673014,-0.03421702825160698,0.044244721772116476,0.6015835407652048,0.43797447060544187,0.7208171193517215,55798,methyltransferase like 2B,METTL2B,0.7841250640113826
ENSG00000126814,788.2201481180116,0.03107284949287322,0.0416058831946109,0.5549550769728739,0.4563000907856219,0.7350263141695476,57570,tRNA methyltransferase 5,TRMT5,0.7841250640113826
ENSG00000138050,416.5631802986423,-0.047234627408286205,0.06381168015658839,0.5522243068662647,0.4574102652152349,0.7358326350743818,80745,THUMP domain containing 2,THUMPD2,0.7841250640113826
ENSG00000071462,2976.542034878627,0.04351815348860586,0.06034954438281107,0.5161055160233445,0.4725077025846479,0.7483427555911326,114049,BUD23 rRNA methyltransferase and ribosome maturation factor,BUD23,0.7841250640113826
ENSG00000166166,1137.056363427628,-0.05789830304384473,0.08157020373035805,0.5088967334922927,0.47561684210526484,0.7507929012434427,115708,tRNA methyltransferase 61A,TRMT61A,0.7841250640113826
ENSG00000169972,503.88830530674875,-0.06561495781877583,0.09623330463990477,0.4702766419550244,0.4928599278446067,0.7644708199826272,126789,pseudouridine synthase like 1,PUSL1,0.7884933667486315
ENSG00000185736,204.85577291177094,0.16096239267879886,0.23764389730058186,0.4462551496053493,0.5041187098884693,0.7735474381816251,105,adenosine deaminase RNA specific B2 (inactive),ADARB2,0.7884933667486315
ENSG00000122687,932.7697468423395,0.023860681396673706,0.04156197510115636,0.3283807562393122,0.5666141166392673,0.8198550088679828,29960,mitochondrial rRNA methyltransferase 2,MRM2,0.8640865278748826
ENSG00000140955,34.971841700309675,-0.10537611770042424,0.19524754441110456,0.29648097812605556,0.5860969884261467,0.8334254831393477,161931,adenosine deaminase domain containing 2,ADAD2,0.8719979583901206
ENSG00000145331,309.11670056881405,0.032450777903223156,0.062197587396609286,0.2709785868801191,0.6026760821937825,0.8450406423965874,93587,tRNA methyltransferase 10A,TRMT10A,0.875315262233827
ENSG00000183665,578.7177096309127,-0.029699261615992786,0.06028672156557643,0.24392601870840736,0.6213848063701986,0.8575415046229066,55039,tRNA methyltransferase 12 homolog,TRMT12,0.8814993764786538
ENSG00000137200,1796.586319613599,-0.01480117737948383,0.03238716589014313,0.2095602143126598,0.6471123220403082,0.8747338581678408,23070,cap methyltransferase 1,CMTR1,0.8849731284875388
ENSG00000164944,1842.440424223495,0.024824378815000867,0.06116424203097274,0.16402549718714,0.6854770597579399,0.9004135331861091,25962,vir like m6A methyltransferase associated,VIRMA,0.8849731284875388
ENSG00000099899,1558.8503599941657,-0.02831228183233966,0.0705000233573419,0.1621041023036014,0.6872266631800285,0.9010354157341899,27037,tRNA methyltransferase 2 homolog A,TRMT2A,0.8849731284875388
ENSG00000174173,710.6817227821932,-0.019896765276976574,0.05248528456466334,0.14425336021849944,0.7040886828998301,0.9114233168135596,54931,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",TRMT10C,0.8849731284875388
ENSG00000134077,1624.6519103901046,0.018272634267617126,0.048510055630585414,0.141483021690874,0.7068111166833528,0.9128405059683107,25917,THUMP domain containing 3,THUMPD3,0.8849731284875388
ENSG00000059588,1533.011729631738,-0.03357919222400722,0.09084908943464808,0.13739951670777373,0.7108800540309738,0.9150123428889638,6894,TAR (HIV-1) RNA binding protein 1,TARBP1,0.8849731284875388
ENSG00000178694,318.6311201710603,-0.017386423921841383,0.058814274816484435,0.08757084348872013,0.7672883418731223,0.9499078405636288,63899,NOP2/Sun RNA methyltransferase 3,NSUN3,0.9070422903119081
ENSG00000130305,1176.4027324682745,-0.022503764944163743,0.07649654876430419,0.08691150015420135,0.7681408874062532,0.9504963236793701,55695,NOP2/Sun RNA methyltransferase 5,NSUN5,0.9070422903119081
ENSG00000108592,2715.736397042599,-0.011562479941055819,0.04017308890053764,0.08304212439907133,0.7732163786265446,0.9534669697315257,117246,FtsJ RNA 2'-O-methyltransferase 3,FTSJ3,0.9070422903119081
ENSG00000188917,642.1361472091811,-0.011675672833555513,0.045961437411747706,0.06465135615599138,0.7992898257501563,0.9680461390834589,79979,tRNA methyltransferase 2 homolog B,TRMT2B,0.9199373466181043
ENSG00000171103,503.59157513228394,0.008938895046354107,0.04211747367067346,0.04751390856836224,0.8274471462037678,0.9833217399283776,55006,tRNA methyltransferase 61B,TRMT61B,0.9347088133042561
ENSG00000179299,582.4569796758823,0.012698255994035627,0.11152664165577596,0.012935359150105796,0.9094488809564687,1,79730,NOP2/Sun RNA methyltransferase family member 7,NSUN7,0.998867362546149
ENSG00000166133,319.60063230130066,0.005839553667652255,0.05850710513196804,0.010862274403734773,0.9169929885669565,1,27079,RNA pseudouridine synthase domain containing 2,RPUSD2,0.998867362546149
ENSG00000165526,809.3831493656173,0.0040885129150527635,0.04928033617329503,0.00693973840225226,0.9336089513055532,1,84881,RNA pseudouridine synthase D4,RPUSD4,0.9991253689410307
ENSG00000186666,451.5444175719571,0.0013924837761364408,0.04285024065511419,0.0011734514991985634,0.972673267661937,1,144233,BCDIN3 domain containing RNA methyltransferase,BCDIN3D,1
